,stop_id,stop_name,hiking,relaxing,sightseeing,discovering
267,8503225,Ziegelbrücke,0,0,0,0
268,8503228,Netstal,0,0,0,0
269,8503230,Glarus,0,0,0,0
270,8503231,Ennenda,0,0,0,0
271,8503233,Schwanden GL,0,0,0,0
272,8503239,Linthal,0,0,0,0
273,8503301,Pfäffikon ZH,1,0,0,0
274,8503302,Fehraltorf,1,0,0,0
275,8503303,Illnau,1,0,0,0
276,8503304,Kemptthal,0,0,0,0
277,8503305,Effretikon,1,0,0,0
278,8503306,Dietlikon,1,0,0,0
279,8503307,Bassersdorf,1,0,0,0
280,8503308,Kloten,0,0,0,0
281,8503310,Glattbrugg,0,0,0,0
282,8503311,Rümlang,0,0,0,0
283,8503312,Oberglatt,0,0,0,0
284,8503313,Niederglatt,0,0,0,0
285,8503315,Dielsdorf,1,0,0,0
286,8503340,Opfikon,0,0,0,0
287,8503400,Bülach,0,0,0,0
288,8503401,Glattfelden,0,0,0,0
289,8503402,Eglisau,0,0,0,0
290,8503403,Hüntwangen-Wil,0,0,0,0
291,8503404,Rafz,0,0,0,0
292,8503408,Rekingen AG,0,0,0,0
293,8503409,Bad Zurzach,1,0,0,0
294,8503421,Jestetten,0,0,0,0
295,8503423,Neuhausen,0,0,0,0
296,8503424,Schaffhausen,0,0,0,0
297,8503428,Diessenhofen,0,0,0,0
298,8503501,Döttingen,1,0,0,0
299,8503502,Siggenthal-Würenlingen,0,0,0,0
300,8503503,Turgi,1,0,0,0
301,8503504,Baden,1,0,0,0
302,8503505,Wettingen,1,0,0,0
303,8503506,Killwangen-Spreitenbach,1,0,0,0
304,8503508,Dietikon,1,0,0,0
305,8503509,Schlieren,0,0,0,0
306,8503511,Neuenhof,1,0,0,0
307,8503512,Glanzenberg,1,0,0,0
308,8503526,Regensdorf-Watt,1,0,0,0
309,8503528,Otelfingen,1,0,0,0
310,8503529,Würenlos,1,0,0,0
311,8504000,Pully-Nord,3,0,2,0
312,8504003,Bossière,3,0,2,0
313,8504007,Moreillon,1,0,0,0
314,8504010,La Conversion,3,0,2,0
315,8504011,Grandvaux,3,0,2,0
316,8504014,Palézieux,0,0,0,0
317,8504015,Vevey-Funi,0,0,0,0
318,8504018,Ecublens-Rue,0,0,0,0
319,8504020,Oron,0,0,0,0
320,8504021,Vauderens,0,0,0,0
321,8504023,Romont,0,0,0,0
322,8504024,Villaz-St-Pierre,0,0,0,0
323,8504025,Chénens,0,0,0,0
324,8504026,Cottens,0,0,0,0
325,8504027,Neyruz,0,0,1,0
326,8504028,Rosé,0,0,1,0
327,8504029,Matran,1,0,1,0
328,8504030,Villars-sur-Glâne,1,0,1,0
329,8504040,Corseaux-Cornalles,0,0,0,0
330,8504100,Fribourg/Freiburg,1,0,1,0
331,8504101,Düdingen,1,0,1,0
332,8504102,Schmitten,1,0,0,0
333,8504103,Flamatt,1,0,0,0
334,8504104,Thörishaus Station,1,0,3,1
335,8504105,Niederwangen,1,0,3,1
336,8504106,Bern Bümpliz Süd,1,0,3,1
337,8504108,Bern Europaplatz,1,0,3,1
338,8504113,Wünnewil,1,0,0,0
339,8504115,Thörishaus Dorf,1,0,3,1
340,8504117,Oberwangen,1,0,3,1
341,8504120,Moudon,0,0,0,0
342,8504121,Lucens,0,0,0,0
343,8504122,Granges-Marnand,0,0,0,0
344,8504128,Murten/Morat,7,0,0,0
345,8504129,Galmiz,6,0,0,0
346,8504130,Yvonand,1,0,0,0
347,8504131,Cheyres,1,0,0,0
348,8504132,Estavayer-le-Lac,0,0,0,0
349,8504134,Payerne,0,0,0,0
350,8504138,Grolley,1,0,1,0
