,stop_id,stop_name,images
92,8501113,Bavois,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Bavois.jpg
93,8501114,Eclépens,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
94,8501115,Cossonay-Penthalaz,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Cossonay-Penthalaz.jpg
95,8501116,Vufflens-la-Ville,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Vufflens-la-Ville.jpg
96,8501117,Bussigny,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Bussigny.jpg
97,8501118,Renens VD,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Renens_VD.jpg
98,8501120,Lausanne,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Lausanne.jpg
99,8501121,Pully,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
100,8501122,Lutry,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Lutry.jpg
101,8501123,Villette VD,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
102,8501124,Cully,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Cully.jpg
103,8501125,Epesses,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Epesses.jpg
104,8501126,Rivaz,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Rivaz.jpg
105,8501127,St-Saphorin,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/St-Saphorin.jpg
106,8501200,Vevey,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Vevey.jpg
107,8501201,La Tour-de-Peilz,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/La_Tour-de-Peilz.jpg
108,8501202,Burier,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Burier.jpg
109,8501203,Clarens,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Clarens.jpg
110,8501300,Montreux,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Montreux.jpg
111,8501301,Territet,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Territet.jpg
112,8501302,Veytaux-Chillon,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Veytaux-Chillon.jpg
113,8501303,Villeneuve,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Villeneuve.jpg
114,8501304,Roche VD,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Roche_VD.jpg
115,8501400,Aigle,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Aigle.jpg
116,8501402,Bex,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Bex.jpg
117,8501403,St-Maurice,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/St-Maurice.jpg
118,8501404,Evionnaz,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Evionnaz.jpg
119,8501405,Vernayaz,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Vernayaz.jpg
120,8501426,Bouveret,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Bouveret.jpg
