,stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
97,8501118,Renens VD,46.537028170052395,6.578937748304889,1.0,
98,8501120,Lausanne,46.516780741385205,6.62909069062426,1.0,
99,8501121,Pully,46.5109201873876,6.65946273038457,1.0,
100,8501122,Lutry,46.5037791013926,6.690607321289329,1.0,
101,8501123,Villette VD,46.4953322424896,6.707280052964911,1.0,
102,8501124,Cully,46.4885478339931,6.7271507870524,1.0,
103,8501125,Epesses,46.489320940583106,6.7451620085015,1.0,
104,8501126,Rivaz,46.47419698106749,6.784589066326999,1.0,
105,8501127,St-Saphorin,46.47258845994679,6.79703073301378,1.0,
106,8501200,Vevey,46.4629982128826,6.8434466837507,1.0,
107,8501201,La Tour-de-Peilz,46.4554423833365,6.85952652733868,1.0,
108,8501202,Burier,46.44787931575421,6.877115540604191,1.0,
109,8501203,Clarens,46.4427293921883,6.8957735490579495,1.0,
110,8501300,Montreux,46.435876515497206,6.91043405449682,1.0,
111,8501301,Territet,46.4263788732316,6.9227050412796,1.0,
112,8501302,Veytaux-Chillon,46.41761034983371,6.9278613710111605,1.0,
113,8501303,Villeneuve,46.3983654344084,6.9269989883382905,1.0,
114,8501304,Roche VD,46.358683512572405,6.927052887255339,1.0,
115,8501400,Aigle,46.316844686228706,6.963677201393991,1.0,
116,8501402,Bex,46.2514610057622,7.0006788079520295,1.0,
117,8501403,St-Maurice,46.2163655263812,7.00204424718408,1.0,
118,8501404,Evionnaz,46.1692421756164,7.02552620871423,1.0,
119,8501405,Vernayaz,46.138544890347006,7.03836313412609,1.0,
120,8501426,Bouveret,46.3858126304061,6.85323832034897,1.0,
121,8501500,Martigny,46.105825013356295,7.07911969857226,1.0,
122,8501501,Charrat-Fully,46.1268040834555,7.12647888035764,1.0,
123,8501502,Saxon,46.1493745920936,7.1734338202651,1.0,
124,8501503,Riddes,46.172501939414204,7.217846527918151,1.0,
125,8501505,Ardon,46.2085828237495,7.27094594436985,1.0,
126,8501506,Sion,46.227546568369,7.359187454741191,1.0,
127,8501507,St-Léonard,46.2514858529646,7.41957220814811,1.0,
128,8501509,Sierre/Siders,46.292114595739406,7.5328317991856695,1.0,
129,8501510,Châteauneuf-Conthey,46.2161044631806,7.305108874629671,1.0,
130,8501600,Salgesch,46.309448550399104,7.579005204795839,1.0,
131,8501601,Leuk,46.311887151938706,7.64394441669388,1.0,
132,8501602,Turtmann,46.3093244456342,7.69960403170567,1.0,
133,8501603,Gampel-Steg,46.306513397342606,7.7475740678843295,1.0,
134,8501604,Raron,46.306271379813296,7.801508917550371,1.0,
135,8501605,Visp,46.294026378755504,7.88145897784814,1.0,
136,8501609,Brig,46.31941944860821,7.988089002087969,1.0,
137,8502000,Aarburg-Oftringen,47.320264702914,7.908201823860099,1.0,
138,8502001,Zofingen,47.2880465856644,7.94309238950016,1.0,
139,8502002,Brittnau-Wikon,47.2626615310824,7.957025259558789,1.0,
140,8502003,Reiden,47.24146040729529,7.96875725717103,1.0,
141,8502004,Dagmersellen,47.217553999122295,7.9790160177170995,1.0,
142,8502005,Nebikon,47.192373211361996,7.97744396596967,1.0,
143,8502006,Wauwil,47.183850781419494,8.019009014171669,1.0,
144,8502007,Sursee,47.170789761653005,8.09788109612834,1.0,
145,8502008,Nottwil,47.138804488126794,8.13858376165746,1.0,
146,8502009,Sempach-Neuenkirch,47.116050000970205,8.19596814201501,1.0,
147,8502010,St. Erhard-Knutwil,47.1800775208726,8.074560831349348,1.0,
148,8502011,Oberkirch LU,47.1552332489433,8.11422145114875,1.0,
149,8502012,Rothenburg Dorf,47.09090668377811,8.27317834069583,1.0,
150,8502017,Waldibrücke,47.107894399307206,8.319684122961169,1.0,
151,8502020,Rothenburg,47.08819108216971,8.249175356300809,1.0,
152,8502021,Emmenbrücke,47.070597480766104,8.282547769110499,1.0,
153,8502022,Eschenbach,47.132394122807895,8.32277432753897,1.0,
154,8502023,Ballwil,47.1537671471729,8.31688137927433,1.0,
155,8502024,Hochdorf,47.1669728216393,8.28868326250189,1.0,
156,8502025,Baldegg,47.1856823646078,8.28021214937146,1.0,
157,8502027,Hitzkirch,47.2226668141368,8.25197809998765,1.0,
158,8502028,Emmenbrücke Gersag,47.07831221937511,8.27679855129133,1.0,
159,8502030,Seon,47.3461394895498,8.158786872400121,1.0,
