,stop_id,stop_name,event_name,description,categories,url
446,8503120,Jona,Tower Sports,,['shopping'],https://go.sygic.com/travel/place?id=poi:10933929
447,8503121,Rüti ZH,Bachtel Tower,"Bachtel Tower is a 60 m tall radio tower on 1,115 m high Bachtel mountain near Hinwil, Switzerland, overlooking the Zürcher Oberland. ",['hiking'],https://go.sygic.com/travel/place?id=poi:10135407
448,8503121,Rüti ZH,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:11905595
449,8503121,Rüti ZH,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:11744431
450,8503121,Rüti ZH,Tower Sports,,['shopping'],https://go.sygic.com/travel/place?id=poi:10933929
451,8503122,Bubikon,Bachtel Tower,"Bachtel Tower is a 60 m tall radio tower on 1,115 m high Bachtel mountain near Hinwil, Switzerland, overlooking the Zürcher Oberland. ",['hiking'],https://go.sygic.com/travel/place?id=poi:10135407
452,8503122,Bubikon,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:11905595
453,8503122,Bubikon,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:11744431
454,8503122,Bubikon,Tower Sports,,['shopping'],https://go.sygic.com/travel/place?id=poi:10933929
455,8503123,Wetzikon,Bachtel Tower,"Bachtel Tower is a 60 m tall radio tower on 1,115 m high Bachtel mountain near Hinwil, Switzerland, overlooking the Zürcher Oberland. ",['hiking'],https://go.sygic.com/travel/place?id=poi:10135407
456,8503123,Wetzikon,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:19015127
457,8503124,Aathal,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:19015127
458,8503125,Uster,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:19015127
459,8503126,Nänikon-Greifensee,Tower,,,https://go.sygic.com/travel/place?id=poi:37332332
460,8503126,Nänikon-Greifensee,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:19015127
461,8503126,Nänikon-Greifensee,Wintsch-Tonercote,,['shopping'],https://go.sygic.com/travel/place?id=poi:13564328
462,8503127,Schwerzenbach ZH,Tower,,,https://go.sygic.com/travel/place?id=poi:37332332
463,8503127,Schwerzenbach ZH,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:19015127
464,8503127,Schwerzenbach ZH,Wintsch-Tonercote,,['shopping'],https://go.sygic.com/travel/place?id=poi:13564328
465,8503128,Dübendorf,Tower,,,https://go.sygic.com/travel/place?id=poi:37332332
466,8503128,Dübendorf,Coop Pronto Prime Tower,,['shopping'],https://go.sygic.com/travel/place?id=poi:10546192
467,8503128,Dübendorf,Prime Tower,,,https://go.sygic.com/travel/place?id=poi:24578886
